"sim_id","method","date","median_rt","q025_rt","q975_rt"
1,"RtEstim",6,2.26531111362708,0.732523809444666,3.7980984178095
1,"RtEstim",7,2.41139826031172,1.24791031307899,3.57488620754444
1,"RtEstim",8,2.50954141503765,1.62796467718182,3.39111815289348
1,"RtEstim",9,2.55337422703215,1.93669208663961,3.17005636742469
1,"RtEstim",10,2.53995858503855,2.11447183289548,2.96544533718161
1,"RtEstim",11,2.47003079090778,2.18648515492607,2.75357642688949
1,"RtEstim",12,2.3479456342565,2.15564961611301,2.54024165239999
1,"RtEstim",13,2.17362583956816,2.04294526541004,2.30430641372628
1,"RtEstim",14,1.95982302893197,1.86801635737754,2.0516297004864
1,"RtEstim",15,1.7214705142551,1.6537575432101,1.7891834853001
1,"RtEstim",16,1.47352501583529,1.42096965332108,1.52608037834951
1,"RtEstim",17,1.26270532700457,1.21865077429869,1.30675987971046
1,"RtEstim",18,1.08283673159943,1.04375646154745,1.12191700165142
1,"RtEstim",19,0.929067860002268,0.892399330712432,0.965736389292103
1,"RtEstim",20,0.816823260866646,0.780136318070491,0.853510203662801
1,"RtEstim",21,0.735973455861716,0.697642424975705,0.774304486747728
1,"RtEstim",22,0.679535222702175,0.637842987081724,0.721227458322627
1,"RtEstim",23,0.636926505037669,0.59079328671861,0.683059723356729
1,"RtEstim",24,0.606081572561537,0.553505241975433,0.658657903147642
1,"RtEstim",25,0.585571003852953,0.524959442520869,0.646182565185038
1,"RtEstim",26,0.567911581619446,0.497620477372229,0.638202685866663
1,"RtEstim",27,0.552843031545783,0.4713157693339,0.634370293757667
1,"RtEstim",28,0.540153194743302,0.445327446294183,0.63497894319242
1,"RtEstim",29,0.529692630836456,0.419406316439099,0.639978945233814
1,"RtEstim",30,0.524527592052804,0.395468737092521,0.653586447013086
1,"RtEstim",31,0.524519536138691,0.375426299945125,0.673612772332256
1,"RtEstim",32,0.529671135663788,0.356140311437648,0.703201959889929
1,"RtEstim",33,0.540129727346221,0.341838701574453,0.738420753117988
1,"RtEstim",34,0.543706544104266,0.325894471327377,0.761518616881156
1,"RtEstim",35,0.540265711500942,0.309916847576527,0.770614575425356
1,"RtEstim",36,0.529947379289213,0.281225754497272,0.778669004081153
1,"RtEstim",37,0.521312910161265,0.248867069053008,0.793758751269523
1,"RtEstim",38,0.514296324884958,0.22122828994388,0.807364359826036
1,"RtEstim",39,0.508836577111952,0.20329382341434,0.814379330809564
1,"RtEstim",40,0.504882842637738,0.171399782266265,0.838365903009211
1,"RtEstim",41,0.502395359716685,0.151332581322619,0.85345813811075
1,"RtEstim",42,0.50134646540166,0.146338468940334,0.856354461862985
1,"RtEstim",43,0.501721298779839,0.146916465016143,0.856526132543535
1,"RtEstim",44,0.503518245840519,0.11998268691911,0.887053804761928
1,"RtEstim",45,0.506749226107299,0.118017952107625,0.895480500106972
1,"RtEstim",46,0.511439794735658,0.0995050551495247,0.923374534321791
1,"RtEstim",47,0.517629378543467,0.0863625187248856,0.948896238362049
1,"RtEstim",48,0.525371587540999,0.0702261156393996,0.980517059442598
1,"RtEstim",49,0.534734741182405,0.0372775511761312,1.03219193118868
1,"RtEstim",50,0.545802637160588,0,1.16842511612488
1,"RtEstim",51,0.558675596089868,0,1.11967291711355
1,"RtEstim",52,0.573471814619009,0.0328835669376046,1.11406006230041
1,"RtEstim",53,0.590329041337911,0.00924267789972555,1.1714154047761
1,"RtEstim",54,0.60940654463239,0,1.31731453568721
1,"RtEstim",55,0.6308874592789,0,1.59174132911262
1,"RtEstim",56,0.654981620165088,0,1.89287854098152
2,"RtEstim",6,2.42111321039644,1.5441697586982,3.29805666209467
2,"RtEstim",7,2.53182837128268,1.92426939286423,3.13938734970114
